id;monto;fecha;numero_cuotas;bindex_id;cliente_id;tipoInversion_id;tipoMovimiento_id;;;
1;1000;2018-01-01;1;1;1;1;1;;;
2;1000;2018-01-01;1;2;2;1;1;;;
3;1000;2018-01-01;1;3;3;1;1;;;
4;1000;2018-01-01;1;4;4;1;1;;;
5;1000;2018-01-01;1;5;5;1;1;;;
6;1000;2018-01-01;1;6;6;1;1;;;
7;1000;2018-01-01;1;7;7;1;1;;;
8;1000;2018-01-01;1;8;8;1;1;;;
9;1000;2018-01-01;1;9;9;1;1;;;
10;1000;2018-01-01;1;10;10;1;1;;;
11;1000;2018-01-01;1;11;11;1;1;;;
12;1000;2018-01-01;1;12;12;1;1;;;
13;1000;2018-01-01;1;13;13;1;1;;;
14;1000;2018-01-01;1;14;14;1;1;;;
15;1000;2018-01-01;1;15;15;1;1;;;
16;1000;2018-01-01;1;16;16;1;1;;;
17;1000;2018-01-01;1;17;17;1;1;;;
18;1000;2018-01-01;1;18;18;1;1;;;
19;1000;2018-01-01;1;19;19;1;1;;;
20;1000;2018-01-01;1;20;20;1;1;;;
21;2499;2018-01-02;1;21;1;1;2;;;
22;2222;2018-01-03;1;22;2;1;2;;;
23;3739;2018-01-04;1;23;3;1;2;;;
24;3263;2018-01-05;1;24;4;1;2;;;
25;2882;2018-01-06;1;25;5;1;2;;;
26;4411;2018-01-07;1;26;6;1;2;;;
27;3861;2018-01-08;1;27;7;1;2;;;
28;4716;2018-01-09;1;28;8;1;2;;;
29;4264;2018-01-10;1;29;9;1;2;;;
30;2138;2018-01-11;1;30;10;1;2;;;
31;3236;2018-01-12;1;31;11;1;2;;;
32;4524;2018-01-13;1;32;12;1;2;;;
33;2736;2018-01-14;1;33;13;1;2;;;
34;4967;2018-01-15;1;34;14;1;2;;;
35;3145;2018-01-16;1;35;15;1;2;;;
36;3586;2018-01-17;1;36;16;1;2;;;
37;2119;2018-01-18;1;37;17;1;2;;;
38;2175;2018-01-19;1;38;18;1;2;;;
39;3773;2018-01-20;1;39;19;1;2;;;
40;3991;2018-01-21;1;40;20;1;2;;;
41;1977;2018-01-22;1;41;1;1;3;;;
42;1777;2018-01-23;1;42;2;1;3;;;
43;1559;2018-01-24;1;43;3;1;3;;;
44;1255;2018-01-25;1;44;4;1;3;;;
45;1113;2018-01-26;1;45;5;1;3;;;
46;1582;2018-01-27;1;46;6;1;3;;;
47;1055;2018-01-28;1;47;7;1;3;;;
48;1498;2018-01-29;1;48;8;1;3;;;
49;1435;2018-01-30;1;49;9;1;3;;;
50;1537;2018-01-31;1;50;10;1;3;;;
51;1466;2018-02-01;1;51;11;1;3;;;
52;1733;2018-02-02;1;52;12;1;3;;;
53;1872;2018-02-03;1;53;13;1;3;;;
54;1700;2018-02-04;1;54;14;1;3;;;
55;1995;2018-02-05;1;55;15;1;3;;;
56;1563;2018-02-06;1;56;16;1;3;;;
57;1294;2018-02-07;1;57;17;1;3;;;
58;1811;2018-02-08;1;58;18;1;3;;;
59;1109;2018-02-09;1;59;19;1;3;;;
60;1082;2018-02-10;1;60;20;1;3;;;
61;6540;2018-02-11;1;61;1;2;2;;;
62;7957;2018-02-12;1;62;2;2;2;;;
63;6927;2018-02-13;1;63;3;2;2;;;
64;7002;2018-02-14;1;64;4;2;2;;;
65;6935;2018-02-15;1;65;5;2;2;;;
66;4048;2018-02-16;1;66;6;2;2;;;
67;5316;2018-02-17;1;67;7;2;2;;;
68;7339;2018-02-18;1;68;8;2;2;;;
69;7181;2018-02-19;1;69;9;2;2;;;
70;7971;2018-02-20;1;70;10;2;2;;;
71;4158;2018-02-21;1;71;11;2;2;;;
72;4265;2018-02-22;1;72;12;2;2;;;
73;4240;2018-02-23;1;73;13;2;2;;;
74;6362;2018-02-24;1;74;14;2;2;;;
75;4658;2018-02-25;1;75;15;2;2;;;
76;7900;2018-02-26;1;76;16;2;2;;;
77;5103;2018-02-27;1;77;17;2;2;;;
78;6785;2018-02-28;1;78;18;2;2;;;
79;4912;2018-03-01;1;79;19;2;2;;;
80;5954;2018-03-02;1;80;20;2;2;;;
81;2515;2018-03-03;1;81;1;2;3;;;
82;2830;2018-03-04;1;82;2;2;3;;;
83;2653;2018-03-05;1;83;3;2;3;;;
84;2315;2018-03-06;1;84;4;2;3;;;
85;1657;2018-03-07;1;85;5;2;3;;;
86;1562;2018-03-08;1;86;6;2;3;;;
87;1091;2018-03-09;1;87;7;2;3;;;
88;2783;2018-03-10;1;88;8;2;3;;;
89;1390;2018-03-11;1;89;9;2;3;;;
90;2054;2018-03-12;1;90;10;2;3;;;
91;2330;2018-03-13;1;91;11;2;3;;;
92;1242;2018-03-14;1;92;12;2;3;;;
93;1978;2018-03-15;1;93;13;2;3;;;
94;1731;2018-03-16;1;94;14;2;3;;;
95;2257;2018-03-17;1;95;15;2;3;;;
96;2852;2018-03-18;1;96;16;2;3;;;
97;2830;2018-03-19;1;97;17;2;3;;;
98;2810;2018-03-20;1;98;18;2;3;;;
99;2002;2018-03-21;1;99;19;2;3;;;
100;1825;2018-03-22;1;100;20;2;3;;;
101;8023;2018-03-23;1;101;1;3;2;;;
102;7339;2018-03-24;1;102;2;3;2;;;
103;8510;2018-03-25;1;103;3;3;2;;;
104;9339;2018-03-26;1;104;4;3;2;;;
105;8989;2018-03-27;1;105;5;3;2;;;
106;9145;2018-03-28;1;106;6;3;2;;;
107;9333;2018-03-29;1;107;7;3;2;;;
108;7406;2018-03-30;1;108;8;3;2;;;
109;9891;2018-03-31;1;109;9;3;2;;;
110;7061;2018-04-01;1;110;10;3;2;;;
111;7977;2018-04-02;1;111;11;3;2;;;
112;7435;2018-04-03;1;112;12;3;2;;;
113;8937;2018-04-04;1;113;13;3;2;;;
114;8336;2018-04-05;1;114;14;3;2;;;
115;9519;2018-04-06;1;115;15;3;2;;;
116;8039;2018-04-07;1;116;16;3;2;;;
117;7800;2018-04-08;1;117;17;3;2;;;
118;8993;2018-04-09;1;118;18;3;2;;;
119;7987;2018-04-10;1;119;19;3;2;;;
120;9223;2018-04-11;1;120;20;3;2;;;
121;2366;2018-04-12;1;121;1;3;3;;;
122;3586;2018-04-13;1;122;2;3;3;;;
